epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,186.964,1.64199,1.75564,1.11194,0.76727,0.73832,0.72992,0.28546,1.92808,1.15006,1.31918,0.00333025,0.00333025,0.00333025
2,370.22,1.32702,0.81303,0.97653,0.7448,0.72019,0.71678,0.29973,1.8284,1.07657,1.31507,0.00666194,0.00666194,0.00666194
3,553.08,1.29743,0.77735,0.96898,0.63625,0.68044,0.62926,0.25609,1.96046,1.22978,1.41822,0.00998706,0.00998706,0.00998706
4,735.753,1.26422,0.75467,0.96562,0.7686,0.76078,0.75969,0.32553,1.71345,1.02095,1.26409,0.00997783,0.00997783,0.00997783
5,915.684,1.18695,0.69785,0.94765,0.80972,0.72943,0.7273,0.33272,1.66273,1.04292,1.2317,0.00996061,0.00996061,0.00996061
6,1092.82,1.1353,0.656,0.9343,0.84605,0.76647,0.77366,0.35867,1.71438,1.01577,1.23578,0.0099385,0.0099385,0.0099385
7,1282.02,1.11014,0.64166,0.92822,0.73651,0.76608,0.73487,0.32786,1.69478,1.00965,1.25888,0.00991152,0.00991152,0.00991152
