epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8417.39,0.86278,0.46987,0.89626,0.88042,0.79169,0.77877,0.39508,1.62696,1.05245,1.37121,0.00639856,0.00639856,0.00639856
43,8607.57,0.86024,0.46627,0.89679,0.87875,0.77456,0.77018,0.3907,1.61754,1.0755,1.36054,0.00624721,0.00624721,0.00624721
44,8797.26,0.85658,0.46364,0.89421,0.86167,0.76207,0.76163,0.38194,1.62698,1.10139,1.35841,0.00609463,0.00609463,0.00609463
45,8987.11,0.84442,0.45527,0.8915,0.86838,0.75462,0.76629,0.37779,1.63127,1.08086,1.37349,0.00594097,0.00594097,0.00594097
46,9177.02,0.84941,0.45719,0.89424,0.86872,0.76377,0.77004,0.37905,1.63265,1.06565,1.38041,0.00578639,0.00578639,0.00578639
47,9366.54,0.84478,0.46055,0.89179,0.86371,0.75394,0.7666,0.37271,1.64105,1.08919,1.38071,0.00563104,0.00563104,0.00563104
48,9556.52,0.84503,0.45533,0.89072,0.86547,0.75873,0.76854,0.36974,1.649,1.06956,1.39469,0.00547507,0.00547507,0.00547507
49,9746.13,0.83136,0.44651,0.88833,0.85647,0.76436,0.76703,0.36882,1.65284,1.07913,1.38727,0.00531864,0.00531864,0.00531864
50,9936.04,0.83068,0.44902,0.88913,0.84744,0.75851,0.76041,0.36422,1.65303,1.08808,1.3766,0.0051619,0.0051619,0.0051619
51,10126.2,0.82562,0.4438,0.88866,0.84007,0.75575,0.75731,0.36136,1.65973,1.09395,1.38294,0.005005,0.005005,0.005005
52,10316.3,0.8237,0.44332,0.88856,0.83874,0.75589,0.75735,0.36343,1.65587,1.08431,1.38936,0.0048481,0.0048481,0.0048481
53,10506.5,0.82225,0.4413,0.88599,0.83529,0.74973,0.75354,0.36196,1.65323,1.09265,1.38951,0.00469136,0.00469136,0.00469136
54,10696.5,0.8158,0.43712,0.88581,0.83318,0.74281,0.7524,0.36262,1.64435,1.08586,1.3849,0.00453493,0.00453493,0.00453493
55,10893.6,0.81134,0.43537,0.88467,0.82598,0.73668,0.74838,0.36299,1.63772,1.07998,1.37829,0.00437896,0.00437896,0.00437896
56,11084.9,0.81302,0.43612,0.88428,0.83156,0.73878,0.75057,0.36377,1.63911,1.07764,1.37982,0.00422361,0.00422361,0.00422361
57,11274.5,0.81253,0.43524,0.88218,0.8348,0.74211,0.75148,0.36359,1.63999,1.07366,1.3785,0.00406903,0.00406903,0.00406903
